파아, 83, 174
아사, 76, 187
가자, 76, 189
파바, 88, 148
아파, 43, 189
라가, 75, 160
자하, 77, 142
타타, 97, 148
다파, 99, 158
차아, 41, 180
카하, 73, 192
가타, 50, 152
파나, 95, 142
카자, 49, 152
카가, 57, 140
카타, 79, 164
다하, 63, 186
바라, 77, 161
하가, 79, 160
아파, 66, 161
타아, 47, 182
타사, 64, 147
아나, 96, 188
파자, 76, 168
아가, 69, 143
사아, 67, 151
파아, 95, 146
아차, 46, 177
차차, 70, 149
다자, 91, 186
가다, 56, 188
마나, 81, 184
다파, 76, 195
라가, 86, 151
다바, 52, 183
마다, 92, 172
카라, 43, 144
자마, 66, 177
마나, 87, 150
파파, 92, 187
라라, 63, 182
자라, 84, 174
카나, 67, 191
마자, 76, 175
타아, 93, 161
라마, 84, 149
다자, 80, 188
나나, 87, 143
라파, 78, 167
하가, 94, 176
가가, 40, 164
차카, 93, 180
카아, 75, 189
타차, 57, 179
카마, 90, 186
하타, 59, 199
마타, 61, 192
마다, 43, 197
라카, 91, 167
바다, 80, 197
자마, 90, 161
차차, 52, 157
바차, 69, 149
다파, 99, 188
다다, 56, 155
바다, 61, 166
다마, 58, 146
마라, 93, 178
마파, 48, 187
사가, 58, 171
파사, 91, 146
가나, 83, 160
타카, 62, 183
다라, 73, 179
자다, 43, 144
하타, 44, 152
바카, 95, 177
자나, 72, 160
사사, 98, 187
카아, 87, 157
카바, 84, 176
차마, 75, 155
차차, 98, 148
타가, 84, 168
차사, 82, 143
카사, 74, 154
파타, 42, 142
아라, 78, 191
파가, 44, 197
가나, 70, 160
카다, 73, 197
다자, 47, 169
가자, 47, 155
가라, 99, 192
가다, 69, 160
가바, 60, 141
아아, 69, 161
타가, 70, 153
가하, 48, 175
타자, 83, 172
카라, 84, 177
아카, 98, 192
바차, 74, 148
사다, 58, 168
다가, 42, 167
하가, 90, 142
라카, 90, 156
마마, 50, 192
가다, 59, 184
바차, 97, 179
다가, 46, 190
나파, 94, 195
다파, 55, 185
카가, 84, 141
바타, 94, 168
라타, 48, 161
다하, 94, 185
사타, 60, 160
나아, 47, 176
자아, 58, 181
자사, 68, 174
자파, 49, 145
하하, 95, 164
바자, 64, 146
카자, 63, 162
라타, 61, 153
사사, 46, 158
하라, 48, 167
가바, 58, 182
바하, 72, 195
가바, 72, 181
사바, 44, 164
아카, 48, 145
파바, 90, 184
나나, 66, 150
가파, 70, 197
타사, 63, 159
가가, 71, 162
파차, 98, 150
바바, 86, 170
자가, 97, 198
다가, 78, 158
바타, 61, 194
사하, 45, 155
다타, 92, 190
마가, 40, 152
자나, 74, 182
아자, 73, 185
타파, 67, 184
하가, 42, 155
마자, 71, 157
다사, 42, 156
마마, 50, 168
라가, 92, 194
파타, 79, 199
타라, 88, 198
라카, 83, 169
하카, 97, 158
라파, 53, 155
파사, 89, 157
라사, 61, 198
타마, 49, 183
